EmployeeID,名前,部署,Team,Gender,Age,入社日,雇用区分,Location,給与,AnnualBonusJPY,OvertimeHours,AttendanceRate,RemoteDaysPerWeek,PerformanceRating,Status,Manager
10001,小林翔,開発,T07,男性,27,2021/7/21 4:33,正社員,名古屋,537577,759240,0,94.4,0,3,在籍,小林太郎
10002,渡辺彩,営業,T01,男性,21,2023/10/10 22:33,正社員,札幌,384043,301305,22.4,94.4,1,2,在籍,佐藤陽菜
10003,小林真央,開発,T03,女性,45,2021/10/10 8:27,正社員,東京,425040,306071,10.6,96.1,3,3,在籍,佐々木彩
10004,鈴木蓮,マーケ,T04,女性,47,2021/4/15 4:20,正社員,東京,409536,379175,7.7,93.9,2,2,在籍,山田花子
10005,鈴木葵,総務,T06,男性,50,2019/12/12 8:07,派遣,東京,317559,302735,13.8,96.9,1,2,在籍,山田葵
10006,山田大輝,カスタマーサポート,T01,男性,58,2017/8/4 8:43,正社員,東京,274326,138699,5.3,96.6,3,3,在籍,鈴木真央
10007,山本真央,開発,T04,男性,39,2017/12/21 3:52,派遣,広島,676715,865689,11.2,95,2,2,在籍,小林太郎
10008,中村美咲,開発,T02,男性,53,2022/11/22 0:48,正社員,大阪,320504,479687,0,99.2,0,4,在籍,小林太郎
10009,加藤翼,人事,T06,女性,48,2015/9/27 19:46,正社員,東京,281985,290075,18.7,96.9,2,3,在籍,伊藤美咲
10010,鈴木翔,営業,T05,男性,31,2015/11/23 12:26,正社員,東京,682817,606518,9.2,99.7,1,3,在籍,佐藤陽菜
10011,佐々木彩,営業,T04,女性,53,2019/3/14 2:43,正社員,広島,548588,489752,19.3,96.5,1,2,在籍,高橋美咲
10012,渡辺直樹,カスタマーサポート,T03,女性,22,2023/3/13 2:59,アルバイト,東京,295955,176412,8.4,96.9,3,3,在籍,伊藤直樹
10013,山田健,マーケ,T02,男性,43,2021/12/14 10:35,正社員,名古屋,273388,209459,8.9,95.6,0,3,在籍,加藤翼
10014,渡辺直樹,開発,T07,男性,57,2021/3/30 7:01,派遣,東京,607247,608542,0.3,97,3,3,在籍,小林太郎
10015,渡辺翔,営業,T05,男性,46,2020/8/26 10:06,派遣,東京,445658,415285,16.1,98.8,3,3,在籍,佐藤陽菜
10016,中村健,経理,T03,女性,57,2016/3/4 1:11,正社員,名古屋,363984,380375,3,96,0,3,在籍,山本健
10017,高橋太郎,マーケ,T03,女性,22,2018/7/6 9:17,正社員,東京,279430,376969,6.1,98.3,3,4,在籍,山田花子
10018,中村愛,総務,T06,男性,41,2015/11/4 6:56,正社員,名古屋,326076,236484,10,95,0,2,在籍,佐藤直樹
10019,佐々木直樹,開発,T06,女性,51,2023/1/9 6:42,正社員,東京,597376,315213,11,98.9,3,3,在籍,佐々木彩
10020,小林翔,マーケ,T04,女性,45,2022/12/11 23:34,契約,名古屋,336711,181226,0,95.6,2,3,在籍,加藤翼
10021,佐藤葵,開発,T03,女性,55,2017/9/24 12:52,正社員,福岡,346166,219527,8.2,99.1,0,3,在籍,小林太郎
10022,加藤大輝,営業,T05,男性,38,2018/2/6 4:44,派遣,名古屋,687209,735645,16.4,97.2,0,3,在籍,高橋美咲
10023,佐藤蓮,カスタマーサポート,T05,男性,47,2018/5/11 23:06,正社員,東京,315126,412243,7,100,3,4,在籍,伊藤直樹
10024,鈴木直樹,開発,T05,男性,36,2024/5/30 3:38,正社員,名古屋,618400,857600,8.2,94.1,0,2,在籍,小林太郎
10025,田中健,開発,T01,男性,54,2020/3/3 3:42,契約,広島,688202,781187,11.3,93.3,1,2,在籍,小林太郎
10026,田中翼,人事,T04,女性,24,2023/1/24 9:53,正社員,東京,357219,322619,9,95.5,1,3,在籍,伊藤美咲
10027,佐藤愛,営業,T05,女性,30,2019/10/1 17:13,派遣,東京,310477,203211,1.8,93.5,3,3,在籍,高橋美咲
10028,佐藤真央,総務,T07,男性,23,2022/5/22 12:07,正社員,福岡,314575,283563,9.7,93.5,2,2,在籍,佐藤直樹
10029,吉田葵,人事,T04,女性,48,2020/8/3 23:34,アルバイト,東京,385527,320918,18,98.6,1,2,退職,伊藤美咲
10030,渡辺陽菜,マーケ,T03,女性,29,2017/12/12 19:29,契約,名古屋,336208,460613,1.6,97,2,4,在籍,山田花子
10031,高橋直樹,開発,T04,女性,32,2024/4/9 21:31,派遣,福岡,786660,776212,7,95.8,0,3,在籍,小林太郎
10032,渡辺健,カスタマーサポート,T02,女性,53,2022/7/3 1:41,正社員,東京,237721,172632,0,96,1,3,在籍,伊藤直樹
10033,加藤彩,営業,T01,男性,34,2023/2/21 11:47,派遣,大阪,398825,314593,17.5,95.5,0,2,在籍,高橋美咲
10034,加藤花子,営業,T05,男性,25,2025/1/12 14:10,正社員,大阪,407603,259427,9.3,100,1,4,在籍,佐藤陽菜
